topic_0,topic_1
0.999995052805,4.94719538238e-06
0.99999627776,3.72224028475e-06
0.999998766933,1.23306748476e-06
0.999990564524,9.4354761455e-06
0.999998020147,1.97985293582e-06
0.999998779759,1.22024082577e-06
0.99999909721,9.0278965047e-07
0.999998872778,1.12722236714e-06
0.999999081311,9.18689131891e-07
0.999998061269,1.93873065403e-06
0.99999839151,1.60849008144e-06
0.999999014344,9.85656282069e-07
0.999998085205,1.91479524357e-06
0.999998502571,1.49742946427e-06
0.999999129584,8.70415535944e-07
0.999998901372,1.09862765706e-06
0.999997779847,2.22015294532e-06
0.999994346025,5.65397513959e-06
0.999998557876,1.44212354041e-06
0.999997835921,2.16407941511e-06
