0,1,2,3,4,5,6,7,8,9,cluster
24675.3625772,7.59055635079,7.59098089738,7.59027205512,7.59123411334,7.59083698885,0.843396919835,7.59051272978,7.5907730087,7.59046017296,0
412.448572326,412.45746978,412.539674259,412.453655375,21032.3394102,412.459929335,45.8272215526,412.466395763,412.447102035,412.515087414,1
618.656296355,618.646358464,618.652172375,19174.3986008,618.953875921,618.66942513,68.74030187,618.655219109,618.646780149,618.661415173,0
353.517889123,353.521111209,353.573853622,353.498586472,21562.7144785,353.529186466,39.2795797497,353.511354273,353.706969792,353.512953784,1
130.256540796,130.251023261,130.248538557,130.248844409,3738.34760615,19963.9174742,14.47195578,130.249614496,130.265235161,130.249210964,0
618.60421717,618.593951779,618.598762553,618.573106444,618.625897619,618.619791588,2130.68087543,618.585166338,618.599271871,618.583839938,0
77.3420553973,77.335237247,77.3415879932,77.3302200164,13352.4548955,77.335740103,8.5925727518,77.3322510244,10773.1319937,77.3366662145,1
824.806109539,824.797840439,824.798794863,824.775396342,824.836724419,824.821840689,1924.47840727,824.785582934,824.800947537,824.782982522,0
274.96540937,22268.6873036,274.960202716,274.955763881,274.961780957,274.976845813,30.5521066722,274.96995385,274.961284902,274.964835593,0
618.602879398,618.594936374,618.598963488,618.573287286,618.626937286,618.616612082,2130.68077948,618.586840692,618.599085252,618.585326907,0
618.674937337,618.71201949,618.65444784,618.645536224,618.657056998,618.697202532,2130.60812128,618.67203685,618.65693636,618.668616046,0
412.424615444,412.425214563,412.43760075,412.414785981,21032.5106931,412.443830227,45.825999028,412.426614028,412.630855911,412.424103395,1
46.6929129611,46.6931611708,46.6942212668,46.6911577848,24324.5232718,46.694190767,5.18799681086,46.6917402806,46.6954693749,46.6923110647,1
412.440552487,412.443701195,412.434749312,412.423237369,21032.6805543,412.450846624,45.8247134062,412.423871855,412.435748304,412.416629772,1
145.561465714,145.563709915,145.560804484,145.555081359,145.564748774,145.566783101,2603.7177693,145.559393838,145.560266776,145.559703244,0
618.679123619,618.676221056,19175.4521869,618.65248278,618.65741707,618.698221936,68.7410128564,618.68072987,618.671694198,618.707114858,2
353.499537169,353.497881502,353.491608339,353.489495171,353.507041937,353.518987553,2395.78117249,353.492182014,353.494031883,353.490564019,0
618.656287907,618.625592574,618.635415572,618.619882373,618.688466182,19176.2885517,68.7379145753,618.621871054,618.671433335,618.609821811,0
130.240118298,130.242444944,130.264260858,130.239444076,23572.523788,130.244601033,14.4711743881,130.238749732,130.245302917,130.238159126,1
412.424712006,412.426770153,412.423518383,412.415718996,412.429941209,412.460640526,2336.85091715,412.431526166,412.422263913,412.418536227,0
494.931031583,494.92079562,494.920832744,494.913462357,494.955598155,494.952766233,54.9925400778,494.910854469,20289.3070734,494.913230771,0
206.229965153,206.217606112,206.215340452,206.214118138,22888.6620076,206.227825108,22.9124223575,206.221115094,206.26083202,206.217752156,1
309.324386596,309.317623309,309.309553852,309.308953625,21960.7792628,309.328166246,34.3680960119,309.318991812,309.313333385,309.312207284,1
164.99326429,164.980694287,164.978638159,15472.837311,7950.42321922,164.994605568,18.3314031168,164.983697797,165.00411453,164.984163579,0
494.919496446,494.930919863,494.914987094,494.9107452,20290.2160329,494.928373645,54.9914455412,494.900974475,494.966535165,494.918812609,1
206.223158077,206.227528669,206.287471049,206.217468143,22888.6193496,206.225085622,22.9139757919,206.218260457,206.216310414,206.217946172,1
1237.47005503,13606.3780999,1237.45622585,1237.44997067,1237.36849568,1237.5192276,137.495567332,1237.45420082,1237.4677946,1237.40922794,0
247.475974974,247.472645868,247.469284302,247.463692615,247.467523291,247.483855203,2501.78990383,247.470640059,247.629922417,247.469208783,0
274.981176904,274.987348614,274.978660043,274.985210741,274.969857112,275.014100079,30.5532690075,274.984773848,22268.815492,274.978754175,0
224.958458642,224.960755536,224.954774192,224.958484504,224.961556775,224.96772558,2524.32001062,224.957624961,224.958596627,224.953808336,0
206.226431327,206.220087238,206.282560574,206.208707306,22888.616647,206.228573471,22.9131819429,206.21842355,206.234373024,206.223919746,1
99.0153846068,98.9870317849,98.9951248456,98.9838355093,23853.7800064,98.9895628927,10.9989128424,98.9872213949,99.0148238636,98.9903032231,1
274.952391792,274.956559086,274.949356171,274.950471978,274.954409372,274.959080342,2474.32676684,274.950365228,274.94917555,274.949169599,0
618.628325704,618.631322531,618.637700244,618.608695763,618.638323954,618.643500515,2130.65102571,618.616552569,618.62345652,618.624773247,0
353.552969078,353.523434821,4517.33967352,353.516117473,353.557579304,353.543628165,1933.10312158,353.523677172,353.519233117,353.514752592,0
190.357687024,190.34911118,190.347666596,190.341498699,190.354365173,190.354930204,2558.92956885,190.348609915,190.346568487,190.345324187,0
