topic_0,topic_1
0.999783835423,0.000216164577159
0.99998043028,1.95697198921e-05
0.999996550379,3.44962069074e-06
0.999992579884,7.42011557723e-06
0.999998444687,1.55531314493e-06
0.999996297353,3.70264719826e-06
0.999924549475,7.54505254115e-05
0.99999911267,8.87329786758e-07
0.999997824487,2.1755131456e-06
0.999665660172,0.000334339827702
0.999995418565,4.58143471712e-06
0.999998956374,1.04362629646e-06
0.999999001843,9.98156682497e-07
0.999997940665,2.05933469708e-06
0.999970935381,2.90646190077e-05
0.999999061929,9.3807103964e-07
0.999999263287,7.36712550276e-07
0.999999121595,8.78405046868e-07
0.999997636941,2.36305884209e-06
0.99999924808,7.51920128322e-07
